statusType,nID,strSourceName,strStorageName,strTagName,intervalType,nInterval,aggregateType,tmBegin,tmEnd,aggregateLength,aggregateTime,bUpdate,strTableName,strValueCol,strTimeStampCol,strQualityCol,strTagNameCol,strAggregateCol,strCustomCol1,strCustomValue1,strTagNameSql,tkType,wtType
0,128,test,SQL,\采集站1\XK\YX1COM42N09AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09AC,Time,,,,,,,0,0
0,129,test,SQL,\采集站1\XK\YX1COM42N09AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09AV,Time,,,,,,,0,0
0,130,test,SQL,\采集站1\XK\YX1COM42N09CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09CC,Time,,,,,,,0,0
0,131,test,SQL,\采集站1\XK\YX1COM42N09COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09COS,Time,,,,,,,0,0
0,132,test,SQL,\采集站1\XK\YX1COM42N09CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09CV,Time,,,,,,,0,0
0,133,test,SQL,\采集站1\XK\YX1COM42N09P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09P,Time,,,,,,,0,0
0,134,test,SQL,\采集站1\XK\YX1COM42N09W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N09W,Time,,,,,,,0,0
0,135,test,SQL,\采集站1\XK\YX1COM42N07AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07AC,Time,,,,,,,0,0
0,136,test,SQL,\采集站1\XK\YX1COM42N07AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07AV,Time,,,,,,,0,0
0,137,test,SQL,\采集站1\XK\YX1COM42N07CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07CC,Time,,,,,,,0,0
0,138,test,SQL,\采集站1\XK\YX1COM42N07COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07COS,Time,,,,,,,0,0
0,139,test,SQL,\采集站1\XK\YX1COM42N07CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07CV,Time,,,,,,,0,0
0,140,test,SQL,\采集站1\XK\YX1COM42N07P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07P,Time,,,,,,,0,0
0,141,test,SQL,\采集站1\XK\YX1COM42N07W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N07W,Time,,,,,,,0,0
